,name,image_size,size_our,size_jpg,psnr_our,psnr_jpg
0,Aerial.bmp,"(512, 512)",418690,415752,29.724968815936318,34.13288534576891
1,airfield.bmp,"(512, 512)",415511,401776,28.861859513310474,32.378851754025874
2,airplane.bmp,"(512, 512)",392948,382560,34.31526575673904,40.59204769098101
3,baboonTMW.bmp,"(512, 512)",413964,406936,26.847259832045175,31.36514841912662
4,balloon.bmp,"(576, 720)",508784,485136,42.21642145002861,46.47118948419249
5,balloon_noise.bmp,"(576, 720)",509025,495432,42.01686136341689,46.0298679872586
6,BARB.bmp,"(576, 720)",544999,536280,32.16466245272876,36.635840145846274
7,BARB2.bmp,"(576, 720)",544151,537480,31.59243118675869,35.225411852668806
8,barb512.bmp,"(512, 512)",399722,391224,31.754176129966165,36.82515206621821
9,BOARD.bmp,"(576, 720)",511029,468800,37.476985695751345,41.914540166880855
10,boat512.bmp,"(512, 512)",400158,374184,32.79923575208674,36.28871178865074
11,boats.bmp,"(576, 720)",529477,514544,35.115117582239954,40.08061219224517
12,bridge.bmp,"(512, 512)",414663,407960,28.941370411485625,32.34469634868345
13,bridge256.bmp,"(256, 256)",215007,194512,30.117209155766783,35.45178149043192
14,camera256.bmp,"(256, 256)",209526,199888,31.28501714281468,44.13682254183744
15,couple.bmp,"(512, 512)",397762,385864,32.6510376311585,36.64738470152258
16,couple256.bmp,"(256, 256)",208523,183224,37.737656249212115,46.5294440573605
17,crowd512.bmp,"(512, 512)",410347,390688,33.782669672182664,38.72334369371902
18,EARTH.bmp,"(256, 256)",208073,186192,34.34624070299427,46.79020196675658
19,elaine.bmp,"(512, 512)",397638,360752,34.92347697077268,34.940905166727035
20,ELIF.bmp,"(256, 256)",207289,182688,40.3133900679564,51.274884002849475
21,finger.bmp,"(512, 512)",428424,419592,30.334884874849852,33.281655331136925
22,FROG512.BMP,"(512, 512)",410943,404744,28.19098703242978,30.56006923680449
23,GIRL.bmp,"(576, 720)",544695,538168,37.72127817562326,40.927445654517115
24,GOLD.bmp,"(576, 720)",539968,514640,34.59783053417324,36.8153013336679
25,GOLDHILL.BMP,"(512, 512)",399438,372704,34.06184167954523,36.402910595061584
26,harbour512.bmp,"(512, 512)",392134,391592,29.700472362853546,34.82113926000954
27,HOTEL.bmp,"(576, 720)",540075,530152,33.13322001642056,37.35510598976865
28,lax512.bmp,"(512, 512)",404805,386520,28.51100801437953,31.704934581629303
29,lenaTMW.bmp,"(512, 512)",397112,383464,33.98523554540064,37.54377153217631
30,lennagrey.bmp,"(512, 512)",393389,378512,35.30321851194989,39.633723690940336
31,man512.bmp,"(512, 512)",405215,379848,33.06641880338459,36.70609466171377
32,noisesquare.bmp,"(256, 256)",206505,197640,34.623664675654894,38.29795994696357
33,OMAHA.bmp,"(256, 256)",218196,208488,25.94198564745032,32.407934096781254
34,peppersTMW.bmp,"(512, 512)",394452,365880,34.913554390491065,37.30539648907121
35,SAILBOAT.bmp,"(512, 512)",400820,395768,32.82782327277855,36.048294274716206
36,seismic.bmp,"(512, 512)",385305,367184,43.694805517698796,48.26634418803076
37,SENA.bmp,"(256, 256)",207033,195312,40.26002398865692,51.20761326087704
38,SENSIN.bmp,"(256, 256)",212136,174944,39.07035778886129,47.45802357174856
39,shapes.bmp,"(512, 512)",377795,352256,39.577411182420704,45.480680629865674
40,SINAN.bmp,"(256, 256)",210196,203512,40.48316266489229,51.27679797736551
41,Tank512.bmp,"(512, 512)",398440,384312,35.006857078964174,36.18733478732528
42,Truck512.bmp,"(512, 512)",401121,377688,35.70523969434424,37.14964486572732
43,woman1.bmp,"(512, 512)",397012,387152,32.899419223775666,36.51162339249731
44,woman2.bmp,"(512, 512)",382692,358400,40.70872416423396,44.761982436946866
45,ZELDA.bmp,"(576, 720)",521621,488056,38.68127180008627,41.18652693202734
