,name,size,size_bmp,size_quant,size_golomb,psnr
0,Aerial.bmp,"(512, 512)",2097152,299008.0,275330,28.03344042020433
1,airfield.bmp,"(512, 512)",2097152,299008.0,272151,27.259572173421095
2,airplane.bmp,"(512, 512)",2097152,299008.0,249588,32.67533178658099
3,baboonTMW.bmp,"(512, 512)",2097152,299008.0,270604,25.509193451523508
4,balloon.bmp,"(576, 720)",3317760,451584.0,346352,40.11528711591157
5,balloon_noise.bmp,"(576, 720)",3317760,451584.0,346593,40.28460110637968
6,BARB.bmp,"(576, 720)",3317760,451584.0,382567,30.106219157409704
7,BARB2.bmp,"(576, 720)",3317760,451584.0,381719,29.84187812257796
8,barb512.bmp,"(512, 512)",2097152,299008.0,256362,29.82608895801406
9,BOARD.bmp,"(576, 720)",3317760,451584.0,348597,35.7221087196437
10,boat512.bmp,"(512, 512)",2097152,299008.0,256798,31.23598839289641
11,boats.bmp,"(576, 720)",3317760,451584.0,367045,33.6047300181169
12,bridge.bmp,"(512, 512)",2097152,299008.0,271303,27.495568707648165
13,bridge256.bmp,"(256, 256)",524288,102400.0,96223,27.384530485476645
14,camera256.bmp,"(256, 256)",524288,102400.0,90742,28.582167747866475
15,couple.bmp,"(512, 512)",2097152,299008.0,254402,31.033772783585732
16,couple256.bmp,"(256, 256)",524288,102400.0,89739,34.56234430041691
17,crowd512.bmp,"(512, 512)",2097152,299008.0,266987,31.92364521604481
18,EARTH.bmp,"(256, 256)",524288,102400.0,89289,30.600233471955015
19,elaine.bmp,"(512, 512)",2097152,299008.0,254278,33.51182289060504
20,ELIF.bmp,"(256, 256)",524288,102400.0,88505,37.49570353516728
21,finger.bmp,"(512, 512)",2097152,299008.0,285064,28.59402232969665
22,FROG512.BMP,"(512, 512)",2097152,299008.0,267583,26.839034298019435
23,GIRL.bmp,"(576, 720)",3317760,451584.0,382263,35.945865683485906
24,GOLD.bmp,"(576, 720)",3317760,451584.0,377536,33.14449681581578
25,GOLDHILL.BMP,"(512, 512)",2097152,299008.0,256078,32.50686698929321
26,harbour512.bmp,"(512, 512)",2097152,299008.0,248774,28.01683749287117
27,HOTEL.bmp,"(576, 720)",3317760,451584.0,377643,31.316313477803064
28,lax512.bmp,"(512, 512)",2097152,299008.0,261445,27.00349941072881
29,lenaTMW.bmp,"(512, 512)",2097152,299008.0,253752,32.25263876325212
30,lennagrey.bmp,"(512, 512)",2097152,299008.0,250029,33.76183390438377
31,man512.bmp,"(512, 512)",2097152,299008.0,261855,31.424136404492337
32,noisesquare.bmp,"(256, 256)",524288,102400.0,87721,32.33399317491103
33,OMAHA.bmp,"(256, 256)",524288,102400.0,99412,23.366010111205604
34,peppersTMW.bmp,"(512, 512)",2097152,299008.0,251092,33.330907423120244
35,SAILBOAT.bmp,"(512, 512)",2097152,299008.0,257460,31.33656283698473
36,seismic.bmp,"(512, 512)",2097152,299008.0,241945,41.80029826371139
37,SENA.bmp,"(256, 256)",524288,102400.0,88249,37.27120060563878
38,SENSIN.bmp,"(256, 256)",524288,102400.0,93352,36.45007776297722
39,shapes.bmp,"(512, 512)",2097152,299008.0,234435,36.51550146392445
40,SINAN.bmp,"(256, 256)",524288,102400.0,91412,37.87216951438053
41,Tank512.bmp,"(512, 512)",2097152,299008.0,255080,33.63878928134219
42,Truck512.bmp,"(512, 512)",2097152,299008.0,257761,34.25174520530385
43,woman1.bmp,"(512, 512)",2097152,299008.0,253652,31.325796098998207
44,woman2.bmp,"(512, 512)",2097152,299008.0,239332,39.30529490183813
45,ZELDA.bmp,"(576, 720)",3317760,451584.0,359189,37.25579981108494
