,name,image_size,size_our,size_jpg,psnr_our,psnr_jpg
0,Aerial.bmp,"(512, 512)",328578,324504,28.898942555429716,33.145575907087775
1,airfield.bmp,"(512, 512)",325399,315784,28.030179826658372,31.77258609678226
2,airplane.bmp,"(512, 512)",302836,285552,33.491807906690504,38.862673361506126
3,baboonTMW.bmp,"(512, 512)",323852,318624,26.175167690680933,30.81501265518704
4,balloon.bmp,"(576, 720)",409136,403952,41.0892926455064,45.52539368117259
5,balloon_noise.bmp,"(576, 720)",409377,368352,40.9243184224654,44.761669490261376
6,BARB.bmp,"(576, 720)",445351,429448,31.028137393743034,35.265073719923706
7,BARB2.bmp,"(576, 720)",444503,433680,30.671263604287358,34.24951429111988
8,barb512.bmp,"(512, 512)",309610,303784,30.65071560907541,35.23550699850876
9,BOARD.bmp,"(576, 720)",411381,401168,36.55363102622956,41.241928986607455
10,boat512.bmp,"(512, 512)",310046,302552,31.874105234361693,35.412126022620235
11,boats.bmp,"(576, 720)",429829,412408,34.259174583675126,38.80966561040256
12,bridge.bmp,"(512, 512)",324551,315976,28.12713225265377,31.64529294137623
13,bridge256.bmp,"(256, 256)",137183,133528,28.561009334432875,32.538173231788186
14,camera256.bmp,"(256, 256)",131702,122552,29.733279870107133,38.29164930153196
15,couple.bmp,"(512, 512)",307650,301328,31.877768137891533,35.382683604834945
16,couple256.bmp,"(256, 256)",130699,125840,36.067695408132884,42.944535791045396
17,crowd512.bmp,"(512, 512)",320235,309424,32.741694561415876,37.24574410392246
18,EARTH.bmp,"(256, 256)",130249,123232,31.90549884758285,39.04738210011666
19,elaine.bmp,"(512, 512)",307526,294632,34.219839505833306,34.46676714446937
20,ELIF.bmp,"(256, 256)",129465,125200,38.6844469665016,47.460124122235655
21,finger.bmp,"(512, 512)",338312,334928,29.448709988170577,32.16030948606215
22,FROG512.BMP,"(512, 512)",320831,319520,27.443071920108533,30.22461938296494
23,GIRL.bmp,"(576, 720)",445047,435936,36.75342451156071,39.83662419538902
24,GOLD.bmp,"(576, 720)",440320,436168,33.83009366538673,36.094515304928144
25,GOLDHILL.BMP,"(512, 512)",309326,299872,33.14327088553604,35.43171627468258
26,harbour512.bmp,"(512, 512)",302022,287592,28.81097078783754,33.51525127516211
27,HOTEL.bmp,"(576, 720)",440427,438664,32.067590064951744,36.48544140473869
28,lax512.bmp,"(512, 512)",314693,306160,27.700485594242107,31.268589901832996
29,lenaTMW.bmp,"(512, 512)",307000,299800,32.96639224957277,36.618653913486504
30,lennagrey.bmp,"(512, 512)",303277,289872,34.390410466252554,38.411154462503234
31,man512.bmp,"(512, 512)",315103,307080,32.31661412454527,35.640452776435076
32,noisesquare.bmp,"(256, 256)",128681,124632,33.278290424051534,33.11596563367794
33,OMAHA.bmp,"(256, 256)",140372,134064,24.386708691726355,30.419835632887462
34,peppersTMW.bmp,"(512, 512)",304340,300616,33.84048610711495,36.727919978780655
35,SAILBOAT.bmp,"(512, 512)",310708,302544,31.991843428243808,35.08360456890884
36,seismic.bmp,"(512, 512)",295193,287408,42.71250836629033,46.485632730049424
37,SENA.bmp,"(256, 256)",129209,111928,38.86850081953482,45.32448812580426
38,SENSIN.bmp,"(256, 256)",134312,121184,37.573509739320905,44.50986188111684
39,shapes.bmp,"(512, 512)",287683,259312,37.993151206826475,41.81202242267229
40,SINAN.bmp,"(256, 256)",132372,118192,38.8620263485855,45.82534776814982
41,Tank512.bmp,"(512, 512)",308328,300504,34.255102765982144,35.272064367846845
42,Truck512.bmp,"(512, 512)",311009,300408,34.92730292743932,36.16709995984163
43,woman1.bmp,"(512, 512)",306900,292200,32.14745406394512,35.31173065478236
44,woman2.bmp,"(512, 512)",292580,268888,40.03608447469321,43.41903537136376
45,ZELDA.bmp,"(576, 720)",421973,413448,37.99669182709568,40.62824929928254
